t_us,state,A_deg,f_hz,status,Fx,Fy,Fz,Mx,My,Mz,target_angle
12069,gap,30,0.5,64,-1.04,-0.66,1.605,,,,0
13265,gap,30,0.5,64,-1.05,-0.65,1.595,,,,0
14136,gap,30,0.5,64,-1.045,-0.655,1.585,,,,0
15201,gap,30,0.5,64,-1.035,-0.66,1.59,,,,0
20005,gap,30,0.5,64,-1.05,-0.66,1.605,,,,0
25017,gap,30,0.5,64,-1.05,-0.65,1.6,,,,0
30031,gap,30,0.5,64,-1.055,-0.655,1.61,,,,0
35959,gap,30,0.5,64,-1.04,-0.655,1.605,,,,0
40041,gap,30,0.5,64,-1.045,-0.66,1.6,,,,0
45303,gap,30,0.5,64,-1.055,-0.67,1.595,,,,0
50189,gap,30,0.5,64,-1.02,-0.655,1.61,,,,0
56520,gap,30,0.5,64,-1.05,-0.67,1.61,,,,0
60721,gap,30,0.5,64,-1.045,-0.675,1.605,,,,0
65871,gap,30,0.5,64,-1.045,-0.675,1.6,,,,0
71272,gap,30,0.5,64,-1.06,-0.665,1.6,,,,0
75222,gap,30,0.5,64,-1.04,-0.66,1.62,,,,0
80396,gap,30,0.5,64,-1.04,-0.655,1.605,,,,0
85592,gap,30,0.5,64,-1.025,-0.65,1.595,,,,0
90079,gap,30,0.5,64,-1.04,-0.65,1.61,,,,0
95122,gap,30,0.5,64,-1.04,-0.655,1.615,,,,0
100014,gap,30,0.5,64,-1.055,-0.655,1.625,,,,0
105780,gap,30,0.5,64,-1.05,-0.665,1.6,,,,0
110809,gap,30,0.5,64,-1.05,-0.65,1.595,,,,0
115036,gap,30,0.5,64,-1.055,-0.63,1.595,,,,0
120040,gap,30,0.5,64,-1.04,-0.65,1.605,,,,0
125029,gap,30,0.5,64,-1.065,-0.655,1.6,,,,0
130000,gap,30,0.5,64,-1.03,-0.645,1.6,,,,0
135072,gap,30,0.5,64,-1.055,-0.655,1.615,,,,0
140094,gap,30,0.5,64,-1.04,-0.66,1.605,,,,0
145101,gap,30,0.5,64,-1.045,-0.665,1.615,,,,0
150006,gap,30,0.5,64,-1.045,-0.64,1.6,,,,0
155264,gap,30,0.5,64,-1.045,-0.62,1.59,,,,0
160072,gap,30,0.5,64,-1.055,-0.67,1.595,,,,0
